time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-10-11T06:11:50.096Z,-30.5839,-72.2018,10,4.3,mb,,132,0.496,0.5,us,us70005tbi,2019-10-12T05:04:51.040Z,"96km W of Ovalle, Chile",earthquake,5.6,1.9,0.218,6,reviewed,us,us
2019-10-11T02:55:41.375Z,-29.222,-71.8549,19.95,4.9,mb,,98,0.877,1.01,us,us70005tad,2019-10-11T03:40:45.299Z,"95km NNW of Coquimbo, Chile",earthquake,6,2.9,0.071,63,reviewed,us,us
2019-10-10T22:35:11.391Z,-4.4607,147.533,10,4.5,mb,,64,2.407,0.63,us,us70005t9b,2019-10-13T01:14:36.040Z,"210km ENE of Madang, Papua New Guinea",earthquake,7.8,1.9,0.097,31,reviewed,us,us
2019-10-10T21:26:26.700Z,-46.9218,-10.3997,10,5.2,mb,,72,18.05,0.62,us,us70005t81,2019-10-11T04:19:02.040Z,"Southern Mid-Atlantic Ridge",earthquake,11.7,1.8,0.054,113,reviewed,us,us
2019-10-10T18:32:14.421Z,-35.235,-179.3542,10,4.8,mb,,192,2.992,0.9,us,us70005t5n,2019-10-10T22:42:46.332Z,"East of the North Island of New Zealand",earthquake,4.7,1.9,0.128,19,reviewed,us,us
2019-10-10T17:26:42.163Z,-16.0937,-73.3867,61.95,4.5,mb,,130,4.025,0.72,us,us70005t3y,2019-10-10T22:22:57.040Z,"92km NW of Camana, Peru",earthquake,9.5,7.9,0.09,36,reviewed,us,us
2019-10-10T16:43:30.700Z,-18.613,168.4118,42.21,4.5,mb,,143,3.353,0.77,us,us70005t3s,2019-10-11T16:33:05.040Z,"97km S of Port-Vila, Vanuatu",earthquake,10.1,3.3,0.099,32,reviewed,us,us
2019-10-10T14:16:40.095Z,-6.845,129.5696,146.94,5.1,mb,,51,2.053,1.08,us,us70005t0t,2019-10-10T14:29:48.040Z,"228km WNW of Saumlaki, Indonesia",earthquake,7.6,6.6,0.125,21,reviewed,us,us
2019-10-10T04:39:48.226Z,-3.6504,128.2157,54.43,5,mb,,55,4.091,1.2,us,us70005swb,2019-10-10T14:45:32.708Z,"4km WSW of Passo, Indonesia",earthquake,6.9,6.9,0.075,57,reviewed,us,us
2019-10-10T03:18:04.738Z,-57.9728,157.4102,10,5.4,mb,,114,13.11,1.04,us,us70005svg,2019-10-11T21:41:04.040Z,"Macquarie Island region",earthquake,4.7,2,0.105,31,reviewed,us,us
2019-10-09T21:26:09.009Z,-15.3018,-172.828,10,5.1,mb,,77,1.717,1.63,us,us70005ssi,2019-10-09T22:21:01.040Z,"122km NE of Hihifo, Tonga",earthquake,7.2,1.4,0.068,70,reviewed,us,us
2019-10-09T21:16:28.116Z,-35.1791,-179.1443,10,4.4,mb,,177,3.144,0.91,us,us70005srj,2019-10-09T21:47:50.793Z,"East of the North Island of New Zealand",earthquake,5.7,2,0.149,13,reviewed,us,us
2019-10-09T20:22:51.431Z,-35.0663,-179.3324,10,5.6,mww,,58,3.136,1.04,us,us70005sqk,2019-10-17T22:27:59.214Z,"East of the North Island of New Zealand",earthquake,9.1,1.8,0.05,39,reviewed,us,us
2019-10-09T10:00:11.265Z,-17.7625,-178.7008,563.28,4.6,mb,,73,3.093,0.9,us,us70005sid,2019-10-09T10:17:54.040Z,"252km SE of Lambasa, Fiji",earthquake,12.8,9.2,0.076,52,reviewed,us,us
2019-10-09T05:49:51.598Z,-0.8727,148.4459,10,4.7,mb,,103,1.586,0.78,us,us70005sgg,2019-10-09T06:33:17.040Z,"182km NE of Lorengau, Papua New Guinea",earthquake,9.9,1.9,0.102,29,reviewed,us,us
2019-10-09T05:44:46.324Z,-57.9316,-139.1829,10,5.5,mww,,148,26.755,0.48,us,us70005sih,2019-10-10T05:46:57.954Z,"Pacific-Antarctic Ridge",earthquake,7.1,1.9,0.075,17,reviewed,us,us
2019-10-08T14:13:47.785Z,-7.3911,129.4948,133.29,4.1,mb,,142,1.882,0.74,us,us70005upv,2019-10-17T14:45:24.040Z,"210km WNW of Saumlaki, Indonesia",earthquake,8.1,14.4,0.262,4,reviewed,us,us
2019-10-08T14:04:08.853Z,-27.2004,-71.1177,35,4.2,mb,,185,0.696,0.73,us,us70005rxg,2019-10-17T14:35:34.040Z,"79km WNW of Copiapo, Chile",earthquake,3.7,2,0.372,2,reviewed,us,us
2019-10-08T13:10:47.008Z,5.0382,127.3739,158.78,4.4,mb,,137,2.694,0.66,us,us70005upt,2019-10-17T14:23:35.040Z,"197km SE of Pondaguitan, Philippines",earthquake,10.5,10,0.138,15,reviewed,us,us
2019-10-08T12:45:37.261Z,-10.3417,161.4781,53.19,5,mb,,30,1.754,0.72,us,us70005rx7,2019-10-08T13:36:48.040Z,"50km WNW of Kirakira, Solomon Islands",earthquake,4.8,6.8,0.038,219,reviewed,us,us
2019-10-08T06:18:04.056Z,-18.083,-69.4218,134.69,4.9,mb,,111,0.263,1.41,us,us70005rv1,2019-10-08T12:25:37.319Z,"19km NE of Putre, Chile",earthquake,7.1,5.6,0.051,123,reviewed,us,us
2019-10-08T05:09:08.152Z,-61.0738,-53.8817,10,4.9,mb,,83,2.562,1.28,us,us70005run,2019-10-08T05:30:26.040Z,"South Shetland Islands",earthquake,7.7,1.9,0.082,47,reviewed,us,us
2019-10-07T22:50:40.509Z,-3.6008,102.1721,78.41,4.4,mb,,183,1.086,1.25,us,us70005rsy,2019-10-17T23:25:25.040Z,"24km NNW of Bengkulu, Indonesia",earthquake,5,10.2,0.148,13,reviewed,us,us
2019-10-07T21:11:37.249Z,4.6166,96.4186,25.18,4.5,mb,,135,0.804,0.63,us,us70005rq1,2019-10-17T04:38:08.040Z,"62km NNE of Meulaboh, Indonesia",earthquake,6.4,6,0.124,19,reviewed,us,us
2019-10-07T20:09:33.991Z,-6.0251,102.2783,24.77,5.1,mww,,49,1.785,0.84,us,us70005rnj,2019-10-16T17:42:57.040Z,"197km SW of Kuripan, Indonesia",earthquake,6.7,3.9,0.089,12,reviewed,us,us
2019-10-07T18:37:59.006Z,-0.3699,99.0329,76.23,4.6,mb,,87,2.122,0.65,us,us70005rmk,2019-10-07T21:13:12.040Z,"83km N of Sikabaluan, Indonesia",earthquake,8.4,6.7,0.109,25,reviewed,us,us
2019-10-07T17:20:19.880Z,4.3713,127.2392,10,4.2,mb,,195,3.577,1.02,us,us70005up4,2019-10-16T23:23:18.040Z,"227km ESE of Sarangani, Philippines",earthquake,12.3,1.8,0.2,7,reviewed,us,us
2019-10-07T15:20:43.869Z,-44.1902,38.8875,10,4.6,mb,,102,14.612,1.16,us,us70005rl8,2019-10-16T19:38:49.040Z,"Prince Edward Islands region",earthquake,10.9,1.9,0.109,25,reviewed,us,us
2019-10-07T14:22:12.293Z,-48.8816,123.8037,10,4.8,mb,,129,16.682,0.82,us,us70005rkt,2019-10-16T18:44:10.040Z,"Western Indian-Antarctic Ridge",earthquake,13.8,1.9,0.111,25,reviewed,us,us
